movieId,title
0,Toy Story (1995)
1,Jumanji (1995)
2,Grumpier Old Men (1995)
3,Waiting to Exhale (1995)
4,Father of the Bride Part II (1995)
5,Heat (1995)
6,Sabrina (1995)
7,Tom and Huck (1995)
8,Sudden Death (1995)
9,GoldenEye (1995)
10,"American President, The (1995)"
11,Dracula: Dead and Loving It (1995)
12,Balto (1995)
13,Nixon (1995)
14,Cutthroat Island (1995)
15,Casino (1995)
16,Sense and Sensibility (1995)
17,Four Rooms (1995)
18,Ace Ventura: When Nature Calls (1995)
19,Money Train (1995)
20,Get Shorty (1995)
21,Copycat (1995)
22,Assassins (1995)
23,Powder (1995)
24,Leaving Las Vegas (1995)
25,Othello (1995)
26,Now and Then (1995)
27,Persuasion (1995)
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,Dangerous Minds (1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,Babe (1995)
33,Dead Man Walking (1995)
34,It Takes Two (1995)
35,Clueless (1995)
36,"Cry, the Beloved Country (1995)"
37,Richard III (1995)
38,Dead Presidents (1995)
39,Restoration (1995)
40,Mortal Kombat (1995)
41,To Die For (1995)
42,How to Make an American Quilt (1995)
43,Seven (a.k.a. Se7en) (1995)
44,Pocahontas (1995)
45,When Night Is Falling (1995)
46,"Usual Suspects, The (1995)"
47,Mighty Aphrodite (1995)
48,Lamerica (1994)
49,"Big Green, The (1995)"
50,Georgia (1995)
51,Home for the Holidays (1995)
52,"Postman, The (Postino, Il) (1994)"
53,"Indian in the Cupboard, The (1995)"
54,Eye for an Eye (1996)
55,Mr. Holland's Opus (1995)
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,Two if by Sea (1996)
58,Bio-Dome (1996)
59,Lawnmower Man 2: Beyond Cyberspace (1996)
60,French Twist (Gazon maudit) (1995)
61,Friday (1995)
62,From Dusk Till Dawn (1996)
63,Fair Game (1995)
64,Kicking and Screaming (1995)
65,"Misérables, Les (1995)"
66,Bed of Roses (1996)
67,Big Bully (1996)
68,Screamers (1995)
69,Nico Icon (1995)
70,"Crossing Guard, The (1995)"
71,"Juror, The (1996)"
72,"White Balloon, The (Badkonake sefid) (1995)"
73,Things to Do in Denver When You're Dead (1995)
74,Antonia's Line (Antonia) (1995)
75,Once Upon a Time... When We Were Colored (1995)
76,Angels and Insects (1995)
77,White Squall (1996)
78,Dunston Checks In (1996)
79,Black Sheep (1996)
80,Nick of Time (1995)
81,Mary Reilly (1996)
82,Vampire in Brooklyn (1995)
83,Beautiful Girls (1996)
84,Broken Arrow (1996)
85,In the Bleak Midwinter (1995)
86,"Hate (Haine, La) (1995)"
87,Heidi Fleiss: Hollywood Madam (1995)
88,City Hall (1996)
89,Bottle Rocket (1996)
90,Mr. Wrong (1996)
91,Unforgettable (1996)
92,Happy Gilmore (1996)
93,"Bridges of Madison County, The (1995)"
94,Nobody Loves Me (Keiner liebt mich) (1994)
95,Muppet Treasure Island (1996)
96,Catwalk (1996)
97,Braveheart (1995)
98,Taxi Driver (1976)
99,Rumble in the Bronx (Hont faan kui) (1995)
100,Before and After (1996)
101,Anne Frank Remembered (1995)
102,"Young Poisoner's Handbook, The (1995)"
103,If Lucy Fell (1996)
104,"Steal Big, Steal Little (1995)"
105,"Boys of St. Vincent, The (1992)"
106,Boomerang (1992)
